Test (2B): basic agreement ...
020394 LOG1 Server 1 received command y3ZKswFZoC3r07YOm-XdrbaFE1LoYtt69TLPF854fynXi5UZAalDggElEVUN4cVz_MtB3TenemdLakRv3XxuCk-Hk9g_pSj1jOsAba5JFBMrFj2PoL1HxXI69gxH5ZLJ5c-JTYtN-r_xuMa-EOrtajUOak94XtllDFFpdA87_6r0x4jfZ8JBgdIdcENYq8MymwkUmdjLbQjYvALP9Thv4NXlQXfbhqQOWKImt622G-_vn5DUxjQ60YjbeIuOPBhx91aJtmcsD8kgwPAcRgzzAXkmZxtX1BQOrLFX5p12wBlU3Bhr0PexWpr4lUC8ohxFk2r226X2_kqTVAUOvYmva9V9fu2_Jlh7i9dEa-n1gV15s_HnXomzpDpCz3oD6_tAPaLKrFJ7lMuiOMA4ErWWmH_SA90ZXc6yWcDpa2gHbHJ5Li1-UYwJ9BQdq_ZXbMOCz9Y38ZhlhZCWDAPnDHXGgr58z9wgWFQFIoIbnVhihzIwePfdJ-rPZ-ZQ1z-dDKNr18eI5eLuRgXttFxKWXcJ5GI7bWBdVFGyF1Mkg1NtW-xWP9YPwtVqhgUaFZb4nbUH7lTOs86dXjyz5OkQhU0MjENyDdGnfoqH8SJ1yyg5Py1hIGVSfgZn6_HaYiBNdejrDRNYXRan1IVgFmxsk4uJtyi86lF0d9J1I5V0eDbnxkwFcs_vxambQvbkKu6EGRqVUzK9Jy_sPnDO6VDIbejeJsbXfBwm7cHW8Iy0etF6cKBWncW9oTev2y0sreGdbruMhKNIU0o-Un7UxJnx81-lbMA2GGaR3tikwjBm7T2Khv49ILyrnq-JwfO-AMxoSQVoXod5wrAIFWaeLhU_LD-Qr47l9hDEJEKr-e-aR3rCmB58IT0g85KEveakZU-M-GMDI7NNHEHhK9prtho58rD9s91TY9W6h0AAnakAu30hiFuoK8qaTURLgMRyBu1GW55jbQyDgFfCwh9ESqha4-kmfOwWpQ6bHC2XBk7hjytqlzOgpQaUuoMsuuyfcBmj5hYP_KUedrodN8qRZ0in0MRW-JE-OBXzqolXxgaXgCgAhsZxEQlTp3aBblzOj-iFVEnjbVebFIr-BsRsCjv_JkO-QSlK8BYi8IrEv78J-vAaYwU87CbHCe3TGKjb-erUANrSIno9KHbQjjeOLU4rzLf08F48VMxrhzDoOa6n1YSPx4cIkTJV0RxEC6kEW2XIlHTgAuHbmP5QOxqywUSOscZvH5o6r9YXpaTtPDaScepSA9xC4Eg6-5FdTbx_9a3aiCqK1NqQEHElBvsJ3dIH-KFeCsVtxjeHWE-407vEuyMMuO-4uEQGlj0ISQjzjvbThRKD1YO5-nAziW4VirYZ1Irz5-be80zjzGfQb2KKom-PK9zEFE7V4gCm8HAMRwVhfpcqf0OEZ830R5iTRIK0zn2dQyUXbxoDkk30gzePM5E7FhgS-1z3Be0IB4aOrlXU_34a-P2SX-j7B_iZ7-1QFU0NW9b_ofDBSekqT2wQwa71Jzv0t-C3IcQNQpawIrtRznwUtAPgcAZxKXOkTsG9BZkOtS9T8mIt6pTq9iOvPsHfh6tPEraYoqU6jqyOliQAbE8w0Y8KOLeuIYE1dcsNVkCjPZx8LS-easwLGr4yuw1COfdCHgjGDA6usGv0Eon6Yf3R6DSuIAEKjKf0mQNJ8Sj3tmVgJ-ziQgFv6kL8bsDYtVkc1GO-3SewW45jN3uWMALhcLX9OG13b0JkDZMR4iuhaIQxVcKdiJ9aSNoSV00b3FPe6ZCnl0pqeNCMEXTA5f9QQnWI2KVSizHslLZ1rI8r6pwzPt99cB7_Xh8B9_L552lPoOBEZWanIdYCx9ToTrDGOUUMFbY28gicbSGOfUxZiLWGeZ6rrHNB_Q7ZOz15s5EAM8FsC5Itdy6eYsmJBZP0QVr9ycR2nEZDTwkvVot8WjsGDbzGuaABrnfqzo5Gei97mjyaD7i8IQgiFGNxfpzAV4615hbIeAxc1b1AcnLL7iuipGADyc7oviXEz4sNWqPDG5IWiFyaHsCYx33txVBVR8UmtjEdtUNJKUAguOH7eFobmZr2Wrh96VIKIHN8S_kkmi2Hk-M6UBC8qfzt4oGK9D2z9lj3oU4hw13634QYXLsyIgXUsWjQK9uNgzPgU7vj51ce-OxioblVf19PiOgyvuLnLR4Ni-WNdAIuGLkiM4L6EghrV6HsDcyY2e0fzf7PdNfI_CXaE4KopRSp51_iGzSOFE4kTgA3XIioPzvep5O8g5SmO-dImBEKyEu82Ua-kTfrF72ZyJpxzcKY_uU0E_Ebq54d4LY1u7nMjzD9c_KLCSrbBXRwSbg89KwZ68zHQtLaZGRY_m1cTFR362BCNSCBNWXDFSdB5SjSLN_J04hIp8FLGOJq3NBwGm7rC4yXE5mbDcYiAlh_Uw_gJksffGD7z3YUeCCJDvmpIqr7BQdw64YzNSyzSWKPLEaWt65ShwM-_eaYiz95pWwkT5bL08Sf1NHY1t8u3T0KkhTrJVj3e-TUq7-VDh3cnXjeu9hd4dPIfzzcrzKxZbTIImQnB975b8ROwqbLZCpmjTXVWs8SvDH6Dfkb6MYByodMoXa3iBkW3PrTSQzAe7EYrj8KGEEJg8pYWLbgoa2d661gek0-rlgoH54BDLp6WxZ0Qjp9uvCQZjmnpGMVzJNg5NTdHo-bFItuW8pdKSRwJ69MQvDAl4dsMKNy6bv2WOYWm446RRUqYFILTdCQ7cfXAZubTJCyv4SOrKJAVvlal_q38k1BsqYirqEJTZVockjImu5_bOnWBK-4TkT6cD3R_vdVhR77LGRoEGgyEkPhYt_lFms9xS5Gum2jU8U_kPeuHntTl-lU_of5locsCivqRWRX3RPV80zl3GAmbgYew9yC1eAK35r9lVp_ZDycF5n9iPsqklKcrG3eebxGdCB4rKEAZlKX3zSNDjDqakc2tCUvyifWBE-leVG5yhMdNl41uYg951M40F-iViLd9yJyAJzMUVu7-JjexSJUhCS11B6LBuU3ewzf1LtaJUcLnYllxrwhUSttB52qdMq1NiMIUNuGEFqmXetfdRASxfp_4CO9bHt9dNBFSIVpYYsYfWeVks5Bn5_646RSRfoBBl-n72jvZFmItTVi9Kx5rFrNJm02b2xBcTzPdp3CJ59DetRO4w9IYRUrgXjK56RZC8vbdy1aAFzqQPUbJjYoR4mWUF0MxVQGd2Xmu8pZcu0ukB9M0DmNT54afHUnyEGrPzJpg2_D-_Bvft_CJznh3ZAPCQsmAdLI7tL5QEMv_xCPn1OAUdO2WO7KNjQTR6bdv_77doxg0lR4qq3pb99LLqK20XkDiT1sC2QZCc4UreMc5sdyK5M_3l3R4gY05iDM3Adha725-EPIYC6Nv15HgqFD9PRFAYMNlt0S4nJEjaBrDkUwFSi8Kgh4QeT_oeQU4wbrLsBvSbCGqU560hUAlCQEVpZYqUvckJiHE8A9F7GUB6WKhdIB8h3-WSUiej3Ou9glbz19XHITVsksD9JE1wAtFnfpv_Z2q6Iu6ecxB1xxWVA1zO7p6AcyKpSCPbpLkuoe6nrSvi8TRj6yOC9WuCeFgZUhtCEynAw9TBuWntWCW0Zd1w6T-nF-uZ_s__L2IBCbN6R3br2OmlMomfA9-y4meIEUsTjDmMFtb5hrMjYgQA66cSCvPe0shyv5id3UNtFxxpBfSN8a5-9LDK8PdzQNBrTs8KyzcQyVnPDqX5sL4u75HFHIWmmRodcaBjtWWQ495W_hHYSP_MaKtJJxCwKH9pq5WOyTScite5Ejq50ONyAuxOnBZGS0nLo8LS3-rcRHpifSl7um929NLadf4Iu_VB7ysdS09YmlnOQYeV1jp7Lf_TR-bWIl520pFFtYJLBEfLGibueCzM62QdZZyLGCD-1VxnmhGTPH1kurwKVBLf4_cxZhf3yOrHIS6tacNKRSWvd3HvTti0qbUJNiqXyCMb9sxxdTCoW09uAz_SfPnPl5smD_SpCP9AMIC34yO3THLWEoNO9XVzV4phORa1m2Vi_eRmjV8r-3T7Qp-I0k8xBd_NEGVNKnyTpZqYJTLOTlT6XTLfRp_gE1J7XiPxh2_DDKxW8cHheqtuDbPRR8udH6mM2HRHalAMrqJ-Ne13Lv9vO5p2tXdViHVJvITJ-9mVIPkRT4vR0LVAixUuk_AAqPUMYMQQBYANA_P6C8M5yqgRe4KeQouxCff5i3xTnRqET9HI_pXIu1GEyQyvp9CyMYhFrUX92VHpDkG1jJLRSsgiOY7JmlbJ7x_D9XdUw2oj0jsTp10ayNCoDDbqY--rbFUNsXZ5MpWhBAAC6efPE_ewGEGbGFvtqbdiJzSjbXXj928JYAsQiLxP2zTEFwACeSI6-mmLokoAIB2IWJ3dUKibqnk1dj64iLUWoeYOO3jXDWGCYBrk9a03E8u_I2bdDHGqxLnMpOW4RTm2SlCZNO80MF0wOmHleAYgZ_6P_HfLQ63M0S6GKzRXqWxkP2D4RYQopuQ9wJ048oM2ltHpXuanV14fdAhpNXjE59FB1HapT8mFkgcRw3ClEd8obJ478Yi-3Ii4-1KsX-yqrPvVGr5R8_e4VWKfKLJzSexvzpPfJy3u-umSOwrS7WO85Uptr7W2USK9Dyy8eoMJJIqkolQVfup2sWbltsXs4MSFLIzJflX0uHJZoN6Vvmud37MH8RKkUig2S88pE77a_AgjnB-9XKc6JEm7hTaKSOzMUpHmiaCC3NCRSz5Ll6mu4b-N9mFoXoFnpVJ2ydA7OJLUI91r5fKPOCbFqNY0ZQRSvJPkkcgcrXAyKhodozcFWm8DstrL9Bd2rNOpucaSMCvctYP-EsdZBHa0nQPil6iomOB6-jRJx-r10Mnk5n30vHX4B7tur5IaAfPXb8hY2hODYDWWR7a0j99OrB340Lg5Zu-kQAozTDHtQtle1TNkj05jepE5TEcVYveQvDarH8gAZRge1sDC8pQNCo | term: 1, index: 2
022121 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 3
022127 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 3
022138 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
022139 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
024127 APND Server 1 sending appendEntries to 0 | nextIndex: 3, logLength: 3
024133 APND Server 1 sending appendEntries to 2 | nextIndex: 3, logLength: 3
024148 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 2, prevLogTerm: 1, leaderCommit: 2, entries: 0
024148 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 2, prevLogTerm: 1, leaderCommit: 2, entries: 0
024350 LOG1 Server 1 received command 63YRczpvT8itpVALtwq2FkInaHa5fuyREa1UsJeFjOdNwdnOpDkG-Fnc_QOwYZyGxJzmdSn5LG9oyXE-kC8NfWBCbPUWXHs-ZNiNvBLVtH6-i-023w2346r2Tor3_BNzob0uSYpEHXeztVwT-p6U9MUCMe_F3L2NhUXHx-9ig-iSeI0pZukiaASe8C0aJyGWB9l4wyHIzX7ULVlbAeE0rGTpkBjwWbOT-mKMhTjPE8mA6sFD9HPYh090FeprPXVfa9skihsNEelUSYMaJWXgohGo3b_7P3oBkE_BqSxWyMVSoplbo0KqP4Jcag-krw3iwvBtEwN_lOnd1cnoOVoSubiFVmsCN-BoJx0AMKZBiWZaOxfayennofDhYPz8bMFd33dEwkkJBgVPeiuVw8cxBnFcP1ek1nEOaAJsCefv2eVY8B_nRnIbBlGy_asy0_XocVOHyN8D0HUT8PrSivOaEMY2TM9Y-cSMCaeR4TwOwssQwik9SPMkU6uLlD9hTMjNtB9uLOehaWqjnMd1pX4-FkGyVhsSnwZLMkBt_36Odso0nobgAOiCmsveoQ2HgSJSSqpoGhPp-k3k5HeORPX20maDmCdKGbxSo4Uyva7DaOlcMG-cyG6shuf9ky5hPA6-LxypNj6qqfggx9FDUZJi1AqFjtGHDIzZsAPwqBpmY5wqOL8awyxdgE3PxfuL38I7LK-KSA3w4q43ZeCseK7wAArRaMjmOHTdMESblLKs6JJVWjdvs8_VzNO_TjEBcKst-0Gr6w2X07a_0ukuaTqJE85gxBUlu-HkFubpWtwSBQl6p9SCga4uOMS9ZDV0uQF9O6XmEwGihr7iN9qycD4eVN8Xswzo1fZyW3SftbEo1m31BskL2NZ5af-lpOvTt3xqC7pQLACzi7hNQXdxVreFdRXPDevGd3p8kk4AXsNAsnn4oqqZbGx3PJuOvKXxeM_X8m7LUMdkr1gSjLSajGJX_O1NkcFKnP84Cfnm2C5i31wDKlHf1Oqmmvj3vvy7zjz10jO-3hnVMGHXIcpgMTCBAnNhx9tFU0rvtMRQJvgP7H3r0c6SWCp31AgV8XSx_7PqrGOdNfkQLbz-tnBncN4_isvTKguwYYKEXkbAcciQPXc-0BFMd_woIcs5q0ccOxY5xiciHUEfTVjzzffdbSz0JsGgCfeahxz1YTysJCrFkZeG_st2HY68BmsMXveuvSSL29c81hleF7tWIRYFLtcx4tYBD9rkB-P9GZcajlLodFTKIyweYBM6JhNvkG5L0WsaYnSVsQCrIeVnB8r6FKPqNgoJMpm4eBUHS9_9swBr3FVt6o3-R822g_CnrtE_xMxQihqytfdxgCP_yomPSYcj1abMjQ7cTek7eaBwrX_ABTzqzx6ach-7zVqtLRpWZcN1tFp6mq6n8uLlUQ-0R7KtM4gneRTMGCXxvQeTlIHDfrUwfM9X7X-E2DMaJjFz8Rw1L6Bq5FAzgCzqn3eFhXfrCaZmrrXOib1oqw_iv9k8bF_mErClODBTcSMvtND-PnQ0JM9EZg5PN8DrNM3CbDQGCMumLVN9lI4z8gyoNUbe-nhmvgt_hvivlJ6BGIa_PTKDeruJGdDKgGDDiCR1q8m-0xGwkXl2lCDMCvC8TSg51b09z95d8hXtnv3mOGYsP8gqLgTCME8TE6Q32ZXXIbUlz-4Zf09_mi0eBsdrBjujIVSy_rLOtV25xHDxEBCEyq7WlXYGwFJ6aRh_IkhQWStLgK0lyZAgipKvFuFcwdCdAZ6gs_hHDO1dJ6CQZK8uYJqj6uW4MZL6kcxsLzt1NfgqraeZXHUgFUYTcJ9K7j5ZDiaKIw1H7gmA9uhHeM5H0TObPy_bLhAaJKbzKpywPg4Yx2O5L2vozoD_8k0nfqPdjurUvKu18qqXhsGftqqyMaZvQPdNY9e34pcxbMwqWFFw4IKRUwTSNakSUvy-iEeN1NnkM_z2kPafW7pCzierADjQr1ijNuhX_UFXvEH7QkHvwNj4Me9pAjbe0mSMWlmsojsiJv-t3A1ruARA24zYXSFLOfoWtJ75qNTENLTyBIhFyyo2cXQZJjgd1Ra0_zpZOxUgMRxeKfpJ7MLS2cdHSeGRTj4X09zRChi7QXE4eov7CVdD2U5cMYnTlc_xq86v8RWwR5gNVdu76hp_tzAvxKDLLD61uU6p3zbDYsDrvI9_5YrXWGDJbDeGAALAhm1nCMS--kJqXuWGsZMBYUNLDCj6_MFgUZZXL4Vl8avKrOsvaaZWOSo6pv-oWoCHV-3xaDRKMskt9pLxVCQAxpyvvi87GfQGCnA8mtd6aBirVgTZm40bL4XlhlZtfPTIqeF22WSRRuoQqf272i2fOBgDKwSvaaypbirUCQDiFuITWo478S4Zbs_NYd-VSkshtMfakBTBYy9IIxE0b8SQVW_7u2uQ-wmhmKl1NqdHG4gFh5AaU0j8V___vnu1CnbX3j7MDvDZOQ6xFFjxRx6BrsP2X6dgVcPS1je8qHtBh0mZRTijU6Bu_0nyUGUetT6mLzS9s1hPJwAAyjpZ3b1eO2ULWr2szdTwyvnvslVgNyjzkpJlF9FOqPmmhby507PhJpU86cO0owFZVk5-1VOa4PVQMSAUxTparxCs-hRVsEKZA4MAmrE5oCmuw0eeyi-048LfLuXJa4LEwmNPu0hLDky52NzNURIkHQeqRMS5KbojBSnqys4vCmxjOZoMLuPtvl_tYQnkxkXQGPUUzTN9Q0GudbExhD4BFHxaWSTO1ao63zlmY4QzXSqdevFblZnUlTRnUTbvW39iKYc0TuqobZ9j3McxhV62g2Pvb0ABRGNwXmD2CfQDnoXSarfS4W9hx5bcmStdefq2gOgzkMQsimt8WDQfz1Sk1yPDPIANMKpP7JcY4Ui7NZ1Q_AOa70XAVcialPGosahvDy16njW3Aky7Il3LnmPjdivKQGArJ-M6bZ-t9XDUv94cguIzkU6qETou1mTSj0OsFyhI3fxtIJx6-UqeaYtFNppBLB7qubKMtIJ7KflqHoZX2dnJO4EdQc-S7H0hiaYW-YmMWFHtg9K7Iq6CH-BKrxgDUMg92dHFKEn2P0sa5dIG1ESADBnBLnycq1zMP7kn8nnHvmjzT6kZW7ELF_vE5Nuk_WGalLPkdgmKiIk5l1DkadEvHZTKMjGL8VUvGwCDD-5LTpEEq68Ek7JGvVa7KxQa_LhaLXRn12Wub3k9WyKfYV2HoaQN0hs1HHkl6emEmqoROMrGnrYoade7iiCL3d5GfqP-ap1npveSW1iKfhKRgl-WWHLyt7BO6UZyy7MDK6dpVg1A1nmI_UPIPwJuVN2EeeE5WATtQKclG8q0_ZQHPx2oeYAXfdE5ZPdiAFo8CengRKTygc49r31tbBJvAjILTzXYqn3wrJ6jLy0qS2VDyo33xnEGqznvdGhJG3gwLY87hSQAp5d-fOv317rIsW3NqKiapTRrkaLuTiY9-BI6-Ke3ulS2iZJt9XfYyGLZMehsGe4VNrLYbLwEcdkxPzUQ2uBWONZdGztYnN59xqYlSFSCHLwMiOPNFTIUnUk7Nmd0dWCVAx1hXnytaGSXHNp8VJqDp1dcgc6E-dGyE2ON04H_8AgJJU78w0toM3atKI4EBALI7xLQDS1GnkWirGC3piZbQ8XQcatD4MM6i5Ns9fWN07AxpPXhwIF5qEvEICVYpEry1UPL1SI0SN73JadxDHz_tZfdgItVFNTrcx--63NSlM2CXMram7criNOh65EedvoSMAhjxVV5zk9v5C7UJeZHK8xqMwKSBVO0nXwLsnqkyifA7dL30csMUZBv5cot1DJOJnPtFT1sRN_X9LqD_fh8a9gK4MDUFiyaMbr7I7MGp5Hk57GPVFr0zluG4ETUmGWrzoSXPZ0KWnzoJvr2mEO9MJIJBNdVM_xK4X2pDCQG3c0p416S334iMcDsUs5P6cWk125XqPFp5sVrcfVJeKLA_pR9Fg3Yo20sDsU_1RzVHou3h_gP3L2Ecx_XH6wJeuTfvyNlsv5VbA4xQoVYrjWvbpO5MKvMHHJdkXzonS0R46InkptbnRRdcwycFWYce0WBESHd4zrtyur-wASUQH1OFkeTQXHANA4lAsvRW_T0ChKBGNeAg86AacJjRJSZ5FOLqN31EAoVt6eQ-5AbPK5yR7vO3ad2VQlc6Ek5e3V_Opjl4i56bLOYa_0hog62AOeVl744eX6jo4Pbr2DTFjIzdGlaaR4EURoXrP5xMDgp0S-vgsRrEVkNJcsSOm-uTm0H_os0plnfvazVBJ6qGJxLERT-Iu-WnobKwmmqlcfd6rs93gYT6vx1FcBjW_5WJ5eqrPVvoApxU_WxAmvPfNW0lY-SFC3wm-xh6GHCEeBsnSxY7LbjeirkMX8GimjgKOf8tai-VoZhNXnuXcQj1H2CUFjhBGSO-UYrZlhXn8bR2y_69ydU3Rs4dHWAYta6w0UexrQsn-xJstshs0MUfWU-UJ5p2glR6NCeoxGUxF3MmE4bCcn6JE2xaHn27SgQwzMAdJ2sfUW4xN862_100jul8KxfRvjQdcdh8yu5PQeJ24vVCx30jHpS3MR6-8dhg3BF58fcBkntEUHTX1AqW7IEMJ8p2YlIvB2dyGVu7ZHzZwQ2ZUupa3nBvYES_wfVSGdfW6ZWUFcY1mJQDWSqYmffKZLt7-PZiK-r75R_PHLwg4ZevDZoFreDKqNpgjmWOPxAka3gCzWQuMonWCpfaPv3zCB3BjshUxTnofdSySMWENJjxjA3hlNk58x7rp5e37XMvvzfHO5AzVuoTO9sjh7FGA8hAhPp5603V4_QOwd29rGQNXdWUdBQSU733KKf8V99wk_EjvyHAfxh4amZrHXHSriOlnli8jjG6q4bOEp8gpdElQZ1G8vHGL7RqHjAeDGTkdZcfu2dGL_xBCDHHZ7B-Pts_0OOqOLvMN9tp78OkkRQyJYt--9sVxv1nnP6F7eHV__dPrAZwWI1_FEq | term: 1, index: 3
